source,target,group
Police Forces of Algeria (1999-),Civilians (Algeria),1
Rioters (Algeria),Police Forces of Algeria (1999-),1
Unidentified Armed Group (Algeria),Police Forces of Algeria (1999-),17
Protesters (Algeria),Police Forces of Algeria (1999-),5
GIA: Armed Islamic Group,Civilians (Algeria),22
Military Forces of Algeria (1999-),GIA: Armed Islamic Group,1
GIA: Armed Islamic Group,Bordj Emir Khaled Communal Militia (Algeria),3
Rioters (Algeria),Military Forces of Algeria (1999-),5
Police Forces of Algeria (1999-),Rioters (Algeria),2
Rioters (Algeria),Civilians (Algeria),2
Ain Defla Communal Militia (Algeria),GIA: Armed Islamic Group,3
Police Forces of Algeria (1999-),GIA: Armed Islamic Group,2
GSPC: Salafist Group for Call and Combat,Police Forces of Algeria (1999-),5
Unidentified Armed Group (Algeria),Military Forces of Algeria (1999-) Gendarmerie,2
Unidentified Armed Group (Algeria),Civilians (Algeria),14
Unidentified Armed Group (Algeria),Vigilante Militia (Algeria),4
Unidentified Armed Group (Algeria),Military Forces of Algeria (1999-),1
GIA: Armed Islamic Group,Police Forces of Algeria (1999-),2
Rioters (Algeria),Military Forces of Algeria (1999-) Gendarmerie,5
GIA: Armed Islamic Group,GLD: Legitimate Defence Groups Militia,4
Islamist Militia (Algeria),Civilians (Algeria),8
Police Forces of Algeria (1999-),Islamist Militia (Algeria),1
Islamist Militia (Algeria),Police Forces of Algeria (1999-),1
Islamist Militia (Algeria),GLD: Legitimate Defence Groups Militia,31
Islamist Militia (Algeria),Military Forces of Algeria (1999-),1
Military Forces of Algeria (1999-),Islamist Militia (Algeria),1
Islamist Militia (Algeria),Islamist Militia (Algeria),4
Protesters (International),Police Forces of Algeria (1999-),13
Military Forces of Algeria (1999-) Gendarmerie,Rioters (Algeria),26
Military Forces of Algeria (1999-),Unidentified Armed Group (Algeria),8
Soldiers of the Caliphate,Civilians (Algeria),5
Soldiers of the Caliphate,Military Forces of Algeria (1999-),1
El Ghoraba Brigade,Police Forces of Algeria (1999-),5
Rioters (Algeria),Rioters (Algeria),6
Military Forces of Algeria (1999-),Civilians (Morocco),4
Military Forces of Algeria (1999-),El Ghoraba Brigade,4
Military Forces of Algeria (1999-),Soldiers of the Caliphate,1
El Feth Brigade,Military Forces of Algeria (1999-),11
MEN: Movement of National Understanding,Civilians (Algeria),3
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Algeria (1999-) Special Forces,11
Soldiers of the Caliphate,Military Forces of Algeria (1999-) Gendarmerie,8
El Feth Brigade,Military Forces of Algeria (1999-) Gendarmerie,1
Unidentified Armed Group (Tunisia),Military Forces of Algeria (1999-),6
Amor Communal Militia (Algeria),Echorfa Communal Militia (Algeria),8
