source,target,value
1,7,17
1,7,17
1,0,10
1,2,12
1,5,15
1,2,12
1,2,12
1,0,10
1,2,12
1,2,12
1,2,12
1,2,12
1,2,12
1,3,13
1,7,17
1,3,13
1,3,13
1,3,13
1,7,17
1,7,17
1,5,15
1,5,15
1,3,13
1,5,15
1,5,15
1,5,15
1,5,15
1,5,15
1,5,15
1,5,15
1,5,15
1,5,15
1,0,10
1,3,13
1,3,13
1,0,10
1,3,13
1,0,10
1,0,10
1,3,13
1,0,10
1,0,10
1,0,10
1,3,13
1,3,13
1,7,17
1,3,13
1,2,12
1,7,17
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,7,17
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,7,17
1,7,17
1,7,17
1,6,16
1,6,16
1,6,16
1,7,17
1,0,10
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,3,13
1,3,13
1,2,12
1,0,10
1,7,17
1,2,12
1,7,17
1,2,12
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,3,13
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,3,13
1,7,17
1,7,17
1,7,17
1,7,17
1,7,17
1,1,11
1,3,13
1,7,17
1,7,17
1,7,17
1,7,17
1,3,13
1,1,11
1,7,17
1,2,12
1,2,12
1,2,12
1,7,17
1,2,12
1,2,12
1,2,12
1,2,12
1,2,12
1,7,17
1,1,11
1,1,11
1,7,17
1,7,17
1,0,10
1,7,17
1,2,12
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,2,12
1,3,13
1,2,12
1,6,16
1,0,10
1,3,13
1,2,12
1,3,13
1,3,13
1,3,13
1,7,17
1,7,17
1,7,17
1,3,13
1,3,13
1,7,17
1,3,13
1,2,12
1,2,12
1,2,12
1,2,12
1,2,12
1,2,12
1,7,17
1,7,17
1,3,13
1,7,17
1,3,13
1,7,17
1,3,13
1,7,17
1,7,17
1,7,17
1,3,13
1,7,17
1,3,13
1,5,15
1,7,17
1,7,17
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,7,17
1,7,17
1,3,13
1,7,17
1,7,17
1,3,13
1,3,13
1,7,17
1,7,17
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,2,12
1,3,13
1,3,13
1,3,13
1,2,12
1,2,12
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
1,3,13
