date	Civilians (Burundi)	Civilians (Democratic Republic of Congo)	Military Forces of Democratic Republic of Congo (2001-)	Protesters (Egypt)	UNITA: National Union for the Total Independence of Angola					
2017	333	194	165	82	1					
2016	1471	532	525	463	4					
2015	1017	250	261	230						
2014	35	396	348	534						
2013	6	310	286	1189						
2012	8	418	438	226						
2011	13	390	279	462	1					
2010	72	209	81	46						
2009	48	346	245	16						
2008	29	120	236	30						
2007	11	63	153	1						
2006	52	94	197	2						
2005	46	121	130	27	1					
2004	27	55	114	0						
2003	134	50	6	2						
2002	191	91	58	40	22					
2001	250	88		14	259.0					
2000	149	35		17	300					
1999	93	57		5	351.0					
1998	58	29		6	443.0					
1997	129	60		4	172.0					
