Year,a,b,c,d,e,f,g,h,i
1997,8778,40554,35029,610,932,36,5,53,15
1998,45525,53358,11978,3121,2940,17,49,1000,0
1999,153699,79618,17446,92696,1021,2142,2,1000,0
2000,7810,9424,5146,1020,456,854,34,10,0
2001,12112,14906,3905,523,669,1283,98,19,17
2002,4079,8656,3259,2672,1249,3405,66,19,1
2003,1589,3188,1898,587,2529,2353,56,53,3
2004,1485,1271,803,64,642,74,107,28,0
2005,1465,1264,1349,30,1030,860,34,28,0
2006,2215,1568,941,32,1444,620,4,0,0
2007,1637,1659,472,78,837,188,37,31,3
2008,1673,2922,2670,147,559,123,112,0,2
2009,4733,8335,4113,396,726,309,16,2,0
2010,1606,2453,1430,220,441,86,19,9,0
2011,2195,828,594,31,737,188,1167,33,63
2012,1563,1110,866,236,1002,146,217,5,15
2013,3914,1016,2446,126,5787,215,1730,115,631
2014,3453,1885,3327,457,6022,997,419,13,31
2015,6053,4222,3305,270,3686,735,217,29,89
2016,20885,16134,9042,2383,10444,6030,1068,71,643
2017,8293,7188,6171,1221,6909,4888,174,61,43
