,EVENT_TYPE,EVENT_DATE,counts
0,BATTLE-GOVERNMENT REGAINS TERRITORY,1997,152
1,BATTLE-GOVERNMENT REGAINS TERRITORY,1998,206
2,BATTLE-GOVERNMENT REGAINS TERRITORY,1999,208
3,BATTLE-GOVERNMENT REGAINS TERRITORY,2000,85
4,BATTLE-GOVERNMENT REGAINS TERRITORY,2001,93
5,BATTLE-GOVERNMENT REGAINS TERRITORY,2002,75
6,BATTLE-GOVERNMENT REGAINS TERRITORY,2003,69
7,BATTLE-GOVERNMENT REGAINS TERRITORY,2004,23
8,BATTLE-GOVERNMENT REGAINS TERRITORY,2005,41
9,BATTLE-GOVERNMENT REGAINS TERRITORY,2006,69
10,BATTLE-GOVERNMENT REGAINS TERRITORY,2007,35
11,BATTLE-GOVERNMENT REGAINS TERRITORY,2008,65
12,BATTLE-GOVERNMENT REGAINS TERRITORY,2009,78
13,BATTLE-GOVERNMENT REGAINS TERRITORY,2010,37
14,BATTLE-GOVERNMENT REGAINS TERRITORY,2011,85
15,BATTLE-GOVERNMENT REGAINS TERRITORY,2012,101
16,BATTLE-GOVERNMENT REGAINS TERRITORY,2013,110
17,BATTLE-GOVERNMENT REGAINS TERRITORY,2014,149
18,BATTLE-GOVERNMENT REGAINS TERRITORY,2015,219
19,BATTLE-GOVERNMENT REGAINS TERRITORY,2016,594
20,BATTLE-GOVERNMENT REGAINS TERRITORY,2017,138
21,BATTLE-NO CHANGE OF TERRITORY,1997,916
22,BATTLE-NO CHANGE OF TERRITORY,1998,1286
23,BATTLE-NO CHANGE OF TERRITORY,1999,2332
24,BATTLE-NO CHANGE OF TERRITORY,2000,1688
25,BATTLE-NO CHANGE OF TERRITORY,2001,1322
26,BATTLE-NO CHANGE OF TERRITORY,2002,1491
27,BATTLE-NO CHANGE OF TERRITORY,2003,1302
28,BATTLE-NO CHANGE OF TERRITORY,2004,1020
29,BATTLE-NO CHANGE OF TERRITORY,2005,872
30,BATTLE-NO CHANGE OF TERRITORY,2006,950
31,BATTLE-NO CHANGE OF TERRITORY,2007,1466
32,BATTLE-NO CHANGE OF TERRITORY,2008,1793
33,BATTLE-NO CHANGE OF TERRITORY,2009,1128
34,BATTLE-NO CHANGE OF TERRITORY,2010,1435
35,BATTLE-NO CHANGE OF TERRITORY,2011,1760
36,BATTLE-NO CHANGE OF TERRITORY,2012,2333
37,BATTLE-NO CHANGE OF TERRITORY,2013,3745
38,BATTLE-NO CHANGE OF TERRITORY,2014,4412
39,BATTLE-NO CHANGE OF TERRITORY,2015,3892
40,BATTLE-NO CHANGE OF TERRITORY,2016,6694
41,BATTLE-NO CHANGE OF TERRITORY,2017,2184
42,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,1997,159
43,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,1998,177
44,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,1999,158
45,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2000,73
46,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2001,96
47,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2002,198
48,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2003,126
49,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2004,21
50,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2005,8
51,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2006,66
52,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2007,24
53,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2008,54
54,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2009,51
55,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2010,12
56,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2011,134
57,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2012,113
58,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2013,101
59,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2014,145
60,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2015,150
61,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2016,204
62,BATTLE-NON-STATE ACTOR OVERTAKES TERRITORY,2017,65
63,HEADQUARTERS OR BASE ESTABLISHED,1997,102
64,HEADQUARTERS OR BASE ESTABLISHED,1998,133
65,HEADQUARTERS OR BASE ESTABLISHED,1999,64
66,HEADQUARTERS OR BASE ESTABLISHED,2000,84
67,HEADQUARTERS OR BASE ESTABLISHED,2001,27
68,HEADQUARTERS OR BASE ESTABLISHED,2002,41
69,HEADQUARTERS OR BASE ESTABLISHED,2003,27
70,HEADQUARTERS OR BASE ESTABLISHED,2004,2
71,HEADQUARTERS OR BASE ESTABLISHED,2005,1
72,HEADQUARTERS OR BASE ESTABLISHED,2006,8
73,HEADQUARTERS OR BASE ESTABLISHED,2007,5
74,HEADQUARTERS OR BASE ESTABLISHED,2008,13
75,HEADQUARTERS OR BASE ESTABLISHED,2009,13
76,HEADQUARTERS OR BASE ESTABLISHED,2010,51
77,HEADQUARTERS OR BASE ESTABLISHED,2011,40
78,HEADQUARTERS OR BASE ESTABLISHED,2012,36
79,HEADQUARTERS OR BASE ESTABLISHED,2013,46
80,HEADQUARTERS OR BASE ESTABLISHED,2014,30
81,HEADQUARTERS OR BASE ESTABLISHED,2015,12
82,HEADQUARTERS OR BASE ESTABLISHED,2016,28
83,HEADQUARTERS OR BASE ESTABLISHED,2017,8
84,NON-VIOLENT TRANSFER OF TERRITORY,1997,219
85,NON-VIOLENT TRANSFER OF TERRITORY,1998,636
86,NON-VIOLENT TRANSFER OF TERRITORY,1999,308
87,NON-VIOLENT TRANSFER OF TERRITORY,2000,202
88,NON-VIOLENT TRANSFER OF TERRITORY,2001,97
89,NON-VIOLENT TRANSFER OF TERRITORY,2002,32
90,NON-VIOLENT TRANSFER OF TERRITORY,2003,4
91,NON-VIOLENT TRANSFER OF TERRITORY,2004,10
